1	C	IoT architecture has 3 layers: perception, network, application. No data layer.
2	A	Perception layer provides full sensing capability.
3	C	Voltage drives charge movement to form current.
4	A	Current is defined as positive charge flow direction.
5	B	Current doing work converts electrical energy to other forms.
6	C	Multimeter cannot measure signal frequency.
7	A	Diode key property is unidirectional conductivity.
8	C	Resistor roles: voltage divider, current divider, current limiter. No voltage limiter.
9	D	Capacitor: pass AC, block DC, store energy. Not store data.
10	D	Transistor has amplification capability.
11	D	1002 means 100x10^2 = 10000 ohm = 10K ohm.
12	A	104 means 10x10^4 pF = 100000pF = 0.1uF.
13	B	Series resistor limits LED current to reduce brightness.
14	B	Inductor blocks AC signal in filter circuit.
15	B	Relay uses small current to control large current.
16	B	Series circuit: current is equal through all components.
17	C	Parallel circuit: voltage is equal across all branches.
18	B	I=U/R=12V/4K=3mA.
19	D	U=I*R=4mA*2K=8V.
20	B	Series same current: U2=I*R2=2mA*3K=6V.
21	B	Parallel same voltage: U=6mA*2K=12V, I2=12V/3K=4mA.
22	C	Digital signals represented by digital waveforms.
23	D	Digital waveform shows logic level vs time.
24	B	Basic unit of digital circuit is gate circuit.
25	D	2KB = 2*1024*8bit = 2048*8bit.
26	B	Logic operators: AND, OR, NOT. OR is a logic operator.
27	B	74LS14 is NOT gate (inverter) chip.
28	A	Binary 1011 0110 0111 00 = 0x5B9C.
29	B	0x3A7B = 0011 1010 0111 1011.
30	A	1101 AND 1010 = 1000.
31	D	1101 OR 1010 = 1111.
32	A	Oscilloscope observes digital waveforms.
33	B	Buzzer mode detects short circuit continuity.
34	C	Signal generator produces signals.
35	C	Signal is physical function carrying information.
36	D	Frequency domain description reveals frequency components.
37	B	Error = measured value - true value.
38	B	Small variation in repeated measurements means high precision.
39	B	Accuracy plus/minus 0.2C, measurement 20.1, actual range 19.9-20.3C.
40	B	Temperature drift effect on weighing scale.
41	C	Sensor sensitivity is output change / input change ratio.
42	A	8-bit ADC resolution = 1/256.
43	C	CC2530 is TI ZigBee/IEEE 802.15.4 wireless SoC.
44	D	CC2530 integrates 8051-compatible MCU core.
45	B	C language hexadecimal uses 0x prefix.
46	C	0x1F = 1*16+15 = 31.
47	A	Hex E = decimal 14.
48	B	Decimal 28 = 1*16+12 = 0x1C.
49	D	C language uses #define for symbolic constants.
50	C	sbit defines individual bits in SFR registers.
51	A	volatile tells compiler variable may be changed by hardware.
52	D	Bitwise NOT is ~ operator.
53	B	Bitwise OR is | operator, used to set bits to 1.
54	A	Bitwise AND with mask clears specific bits.
55	C	Shift operators << and >> are left/right shift.
56	A	P0|=0x01 sets P0 bit 0 to 1.
57	D	P1&=0xFE clears P0 bit 0 (0xFE=11111110).
58	B	if-else is selection structure in C.
59	C	for loop needs initialization, condition, and increment.
60	A	C language arrays are 0-indexed.
61	A	IAR Embedded Workbench is common CC2530 development environment.
62	D	CC Debugger is CC2530 debug probe.
63	B	F7 (Make) is compile shortcut in IAR.
64	C	Debug menu Download and Debug downloads and enters debug mode.
65	A,B,C	D	Circuit states: open circuit, closed circuit, short circuit.
66	A,B	Transistor main roles: amplification and switching.
67	A,C,D	Capacitor properties: pass AC, block DC, store energy.
68	A,B,C	Op-amp applications: voltage follower, voltage comparator, inverting amplifier.
69	A,B,C	Basic digital logic: AND, OR, NOT.
70	A,B,C,D	Signal generator can produce triangle, sine, rectangle, sawtooth waves.
71	B,C	Signal descriptions: time domain and frequency domain.
72	A,C,D	Minimum system: clock circuit, reset circuit, power circuit.
73	A,B,C	C preprocessor: file include, conditional compilation, macro definition.
74	B,C,D	Accuracy plus/minus 0.2, measurement 63.9, possible actual: 63.8, 64.0, 64.2.
75	A,C,D	Create CC2530 project: chip model, debugger type, compiler version.
76	A,C,D	CC2530 dev basics: IAR, CCDebugger, CC2530 board.
77	B	CC2530 has 21 programmable digital I/O ports.
78	C	P2 port has 5 pins (P2_0~P2_4).
79	A	P0 port has 8 pins (P0_0~P0_7).
80	D	CC2530 has no P3 port. P0/P1=8 pins each, P2=5 pins.
81	B	P1_0 and P1_1 have 20mA drive capability.
82	D	P1_0 and P1_1 have 20mA drive capability.
83	B	PxSEL x ranges 0~2 for P0, P1, P2.
